month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,阿里地区,林芝,兰州新区,西咸新区
24-Oct,68.2,52.3,46.1,56.2,44.8,28.2,79.6,60.2,45.6,60.6,79.5,54.7,70.6,56.2,28.6,80.2,62.9,60.5,47.6,42.7,81.1,76.8,103.4,126,43.2,33.7,27.1,43.4,53.7,39.1,47.5,38.5,42.3,44.9,39.8,50.7,65.1,49.4,47.4,37.3,30.9,46,32.8,40.8,36.6,32.6,28.1,33.5,55.1,53.8,34.8,20.6,28.2,32.7,30.1,17.4,48,88.8
24-Nov,79.2,68.2,63.8,75.2,66.3,30.5,92.2,71.5,55,78.5,85.8,66.3,57,75.5,37.6,79.1,74.1,63.3,69.4,53.3,83.6,72.6,100.5,101.6,52.4,33.3,21.3,71,80.2,44.6,60.2,41.6,45.8,59.8,48.4,68.8,73.5,56.8,55.8,44.2,31.3,58.5,32.2,45.9,39,38.7,33.6,34.9,65.5,65,43.9,23.5,30.3,36,26.4,23.3,63.9,91.1
24-Dec,84.2,80.9,83.1,71.6,86.3,38,91.6,69.7,57,76.6,81.7,59.6,53.7,75.2,57.3,65.1,114.2,66.1,106.7,56.8,87.1,71.4,90.1,83,66.7,48.1,26.5,115,144.9,102.7,48.5,67.3,57.4,64.5,65.9,64.6,66.9,54.3,54.7,57.2,46.5,78.9,39.4,57.5,40,38.5,35.6,34.6,60.9,61.5,51,30,38.9,39.3,25.9,24.9,67.8,85.7
25-Jan,120.1,89.9,69.3,92.7,129.4,33.9,122.6,87.5,68.8,105.1,106.4,82.1,62.2,90.2,86.6,126.5,125.9,80.5,160.6,64.8,114.5,104,143.1,141.6,93.2,32.5,29.3,138.8,225.7,139.8,61.2,83.3,69.8,75.6,84.6,84.2,66.2,70,76.9,64.9,52.8,64.4,35.1,51.8,48.7,40.1,31.7,41.6,85.4,91,70.1,37,41.1,40.1,25.8,25.6,70,118.7
25-Feb,93.5,67.3,58.6,62.9,117.2,32.8,98.3,77.7,62.2,89.6,87.6,66.1,59.9,60.7,84.2,187.9,105.9,73.9,136.8,65.8,174.2,206.4,219.5,234.7,79.9,31.8,29.1,134.9,177.1,70.7,51.4,57.6,67.2,61.5,61.7,70.6,66.9,63.3,59.1,45.1,47.4,59.1,43.1,54,46,40.6,31.2,37.9,66,72.2,55.4,27.7,48.9,34.8,30,30.4,60.2,93.5
25-Mar,90.7,88.3,82.6,121.4,55.3,34.2,99.5,79.9,99.9,92,89.5,84.6,122.1,123.8,36.7,218.9,141.4,100.4,51.3,49.5,239.8,216.8,229.6,233.4,48.2,40.9,28.9,52.8,55.8,61.3,108.7,48.3,65.5,97.7,68.7,103.6,131.2,79.2,95.3,64.3,62.8,84.7,59.7,69.2,66.1,56.4,45.4,72.6,125.8,121,73.5,28.5,49,37.4,32.6,30.4,100.6,92.7
25-Apr,99.6,110.1,74.5,95.9,49.8,38.2,106.5,90.8,95.4,100.8,100.5,97.4,85.5,102.1,35,217.2,98.7,74.5,52.1,56.2,274.2,211.1,214.9,279.9,47.7,33.9,30.6,50.6,56.4,86.7,98.2,75.4,87.8,119.4,94.1,113.5,117.7,104.1,95.5,86.1,66.6,74.7,53.9,65.4,65.1,52.2,36.2,68.7,119.6,152.3,109.3,32.4,43.6,41.1,34.8,30.6,118,99.3
25-May,89.2,74.2,61.5,81.9,45.5,36.6,97.3,80.9,90,78.1,88.9,98.4,78.8,85.1,35.3,122.7,96.6,63.4,47.1,41.6,183.9,178.3,190.2,326.7,43.7,32.4,33.3,45.1,52.2,56.2,79.8,54.7,76.9,76,57.6,91.1,92.4,84.1,88.7,51.7,56.8,61.2,45.6,51.4,54.8,47.8,33.9,65.1,93.6,114.6,79,29.2,35.5,39.3,39.5,24.6,70.9,92.9
25-Jun,48.6,45.2,39.2,48.9,41.5,34.8,54.2,47,43.7,40.6,49.9,46.3,48.5,52.2,35.7,50.2,57.9,47,41,37.2,89.6,107.6,114.6,238.1,46.3,31,31.5,41.8,48.1,36.5,48,34.7,39.5,44.2,43,44.6,47.2,47.5,43.2,42.4,42.4,40.7,36.2,33.6,41,36.3,34.4,47.3,53.1,58.5,40.8,30.3,33.5,35.2,42.2,21.9,45,50.5
25-Jul,37.1,42.6,41.5,43.8,41.6,28.2,42.6,36.6,35.9,34.4,37.4,66.2,55.5,46.7,34.6,67.3,55.5,51.2,40.9,37.5,60.6,101.7,114.1,243.3,49,28.8,31.1,41.9,46.4,26,36.5,26.7,31.5,45.3,31.5,51.9,53,40.2,31.9,35.2,39.4,44.3,39,29.5,40.7,33.7,28.1,48,50.4,53.9,32.6,25.9,27.2,24.8,32.9,18.5,43.7,38.7
25-Aug,37.1,40.3,35.3,40.7,41.5,24.9,41.3,34.3,35,33.5,38,47.1,48.6,43,33.7,52.4,52.2,52.4,39.7,36.6,56.9,88.3,117.3,198.9,45.9,32.7,29.3,42.2,45.1,26.5,37.1,25,31.1,38.4,32.9,41.7,44.5,41,33.8,34.8,31.7,38.7,33,30.5,34.9,31.4,26.4,43.6,41.2,43.9,33.1,20.6,22.4,24.4,27.7,14.2,38.7,37.3
25-Sep,35,55.5,48.3,49.8,41.4,23.7,39.5,33.6,34.3,34.5,36.8,78.3,72.4,53.8,33.6,120.3,79.5,62.5,40.6,40.1,185.9,208,227.4,267,45.5,24.2,32.6,44.3,42.5,21.8,40.4,20.5,24.9,57.8,34.9,70.7,91.7,47.6,35.4,40.1,34.4,45.6,41.2,36,41.5,35.2,25,43.8,50.4,60.7,41,18.5,22.2,23.6,28.7,14.2,50.9,34.1
25-Oct,37.9,44.2,43.1,52.4,63.7,26.2,44.5,35.7,32.9,34.6,45.7,59.9,64.2,61,43.3,77.4,83.2,66,59.4,55.9,138.3,130.1,161,135.2,63.8,36.1,32.4,62.8,69.6,24.5,40.2,22.4,25.5,46.8,31.9,57.1,62.1,39.9,32,35.1,31.4,42.2,32,33.1,34.9,32.7,27.3,34.1,49,50.6,28.8,23.4,26,27.9,28.6,18.4,45,40.9
25-Nov,78.8,70.4,59.6,74.3,60.6,27.6,90.6,68.4,68.8,72.2,84.4,86.1,92.8,89.9,55.1,102.1,91.5,68.1,63.6,54.1,119,125,175.5,145.6,57.1,38.4,25.5,62,75.6,57.6,76.9,43.2,52.7,68.9,65.5,81.8,90.9,61.6,64.7,58.2,49.5,61.8,39.4,47.1,49.2,45.3,32.7,36.5,81.8,80.3,59.6,26.1,24.7,30,23.5,21,66.4,85.8
