month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边朝鲜族自治州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Feb-25,70.3,52.4,65.9,71.5,71.7,84.4,75.6,66.1,60.5,38.3,52.6,49.8,70.5,56.5,59.6,66.4,71.3,70,74.4,58,78.6,75.9,54,63.4,64.3,40.1,45.7,40.4,36.8,50,37.4,43,50.4,28.4,65.5,22.9
Mar-25,78.5,68.6,76.8,68,78.2,92.3,74.6,72.4,67.4,47.8,49.3,56.3,73.5,65.4,60.7,72.7,82.8,74.6,82.8,68.9,93.9,69.4,49.6,62.6,75.1,71.3,47.3,49.5,39.4,43,29.4,35.1,43.5,28,43.8,24.2
Apr-25,59.9,47.4,52,70.5,58.9,66.7,60.2,51.8,55.2,57.2,45.2,54.2,53.6,49.8,44.4,50.7,55.7,56.3,61.4,49.8,63.3,51.2,40.4,53,54.6,42.3,32.2,54.9,45.4,61.5,34.4,51.9,57,29.6,67.2,24.6
May-25,52.9,43.8,40.2,42.2,46.9,48.9,48.9,51.5,36.6,45.4,29.6,44.3,48.9,45.5,40.2,50.7,57.3,46.7,47.7,49.4,40.8,36.8,30.6,39.5,42,40,26.9,32.5,39,39,30,33.5,36.1,34.8,38.7,30
Jun-25,34.9,30.7,31,36.7,36.6,35.6,35.4,38.2,30.6,28.3,25.3,30.5,34.5,36.5,29,37,33.5,38,33.6,33.5,30.2,27.4,23.4,35,28.6,21.8,28,28.8,30.2,31.4,21.3,28.6,26.5,27.8,26.3,22.4
Jul-25,27.9,21.9,24.8,31,29.5,28.3,28.4,31.3,22.6,23.6,20.2,25,25.2,26.8,21.9,31.8,29.9,30.4,27.6,28.6,25.2,22.2,16.6,26.5,23.1,17.9,21.8,23.6,25.3,24.4,17.6,24.2,22.6,23.4,20,18.1
Aug-25,28.2,19.6,25.5,28.9,29.6,27.6,28.6,29.4,23.5,21.4,21.7,22.5,26.5,20.7,21.8,31.4,30.2,32.2,28.8,28.7,24.7,24.5,17.8,26.8,22.1,14,19.6,22.9,23.6,20.9,16.1,20.4,20.7,22.4,19,17.4
Sep-25,44.3,35.2,31.6,36.1,46.2,38.4,39.5,45.2,28.2,28.6,30.9,30.5,43.3,30,31.9,45.1,41.1,46.5,36.6,37.1,32.5,35.6,31,34.7,33.6,23.1,23.3,32.8,28.7,28.8,21.4,26.8,28.8,24.2,28.4,18.3
Oct-25,59.8,41.5,56.2,59.5,66.8,60.3,54.9,55.7,63.7,39.1,47.9,42.2,62.8,33,41,59,49.3,68.6,55,42.5,53,76.3,37.7,51.6,46.9,31.6,31.5,55,51.9,53.1,32.9,51.3,56.1,31.6,57.2,19.6
Nov-25,83.2,65.2,94.9,111.6,76.2,85.7,77.3,75.4,130.6,52.9,65.2,76.4,76.4,60.7,56.7,76.8,76.2,76,74.4,59,77,88.9,57.8,69.2,84.7,41.8,42.3,68.1,55.3,59,56.1,64.6,65.4,31.6,106.3,23.9
