month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Sep-23,44.8,50.9,39.8,59.7,45.9,14.8,48.7,41.5,38,45.3,43.6,70.3,71.2,61.2,24.7,82.2,76.9,66,46.1,37.3,104.8,105.2,141.2,299.6,42.8,69.2,36.5,41.5,49.3,26.7,44.5,25.1,30.3,44.9,29.8,63.8,77.2,45.6,41.8,31.2,26.4,42.7,32.6,28,28.4,26.6,7.4,37.6,60,71.3,30.5,11,12.3,10.8,31.2,13.8,8.5,52.8,44.8
Oct-23,63.2,54.5,37.3,69.3,65.9,16.7,75.6,53.9,44,42.2,69.6,53.4,53.3,72.8,35.6,128.5,87.4,75.1,69.2,54.7,113.6,82.8,135.6,171.6,62.2,24.8,32.3,69.9,83.3,34.7,55.1,34.3,36.7,41.4,37.1,49.7,58.1,42,42.4,36.3,30.2,39.1,23.3,32.6,28.2,23,9.6,25.5,61.7,56.8,30.4,10.7,15.3,17.5,33.5,14.4,8.8,47.5,69.6
Nov-23,101.2,105.6,74.9,85,67.2,25,119.2,84,74.8,83.2,102,103.5,84.3,96.3,34.3,198,148.1,112.7,67,51.7,242.7,154.4,222.9,206.1,69.3,33.9,18.4,71.1,69.7,65.4,75.3,55.1,62.3,95,78.1,109.7,97.5,81.6,78.7,66.3,65.1,76.4,42.8,53.4,45.4,32.9,17.9,79.4,88.7,110,77.1,26,24.2,30.5,37.4,13,11.2,95.8,109.7
Dec-23,125.3,127,76.5,108.4,93.5,28.3,140.1,102,84.4,111.4,128.7,90.5,77.1,124.2,58.3,207.5,186.7,123.3,115,71.5,457.8,555.2,604.8,466.2,75.7,61.5,19.4,115.9,121.5,96,89.7,77,69.6,105,113.4,84.7,93.3,82.6,89.1,90.5,66.9,74.8,36.4,61.3,56.3,44.4,21.6,36.7,115.7,127.2,79.6,22.9,26.8,34.7,,15.9,11.7,105.4,132.6
Jan-24,118.7,110.1,73.4,101.4,108.3,21.4,125.9,87.5,73,96,120.4,96.5,83.2,106.2,71.1,131.1,210.2,127.1,131.4,73.9,180,177.7,238.8,261,79.9,51,15.3,143.8,139.9,88,64.3,71.8,70.4,85.4,81.5,101.2,103.8,74.3,72.7,71.3,64,71.9,40.2,52.4,42.5,34,16.3,35.8,91.2,111.5,67.2,21.9,20.3,30.5,40.8,14.8,10.6,95.5,118.6
Feb-24,164.5,139.6,125.9,157.7,128.1,25.8,177.9,127.2,146.6,135.9,153.4,139.4,137.8,151.9,85.4,356.9,307.9,139.9,159.4,98.9,418.3,646.4,585.1,545.7,58.6,51.3,28,173,156.2,95.6,111.6,82.5,124.5,139.4,102.6,150.5,156.9,130.4,125.2,91,81.2,126.8,98.1,103.1,83,45.4,15.2,76.5,174.5,160.8,114.8,18.4,38.1,29.6,38.5,18.7,10.7,132.9,160.7
Mar-24,122,124.6,89.1,99.5,70.2,21.9,129.6,103.7,98.6,101,116.5,113.4,114,111.5,38.8,271.2,177.7,119.3,72.3,55.5,220.4,230.4,265.6,396.9,48.9,32.3,17.5,68.1,76,64.3,104.8,60.2,80.6,114.7,76.2,111.5,136.6,112.5,106.1,73.8,73.8,93.8,64.6,74.2,68.3,43.1,12.5,76.1,125.7,163.5,106.2,15.1,32.3,22.6,40.6,12.3,14.2,112.1,119.1
Apr-24,115.1,115,80.4,110.3,98.4,23.9,123.1,94.3,80.7,104.2,103.6,155.7,143.8,168.1,63.8,149.2,343,182.3,85.9,79.4,233.3,210.1,260.5,534.2,47.6,39.5,26.5,108.3,89.2,62.5,74.8,49.2,74.7,132.2,63.6,166.4,184.5,117.2,112.5,53.9,49.6,82.4,76.2,60.9,65.1,39.2,11.3,85.3,127.8,227.5,127.4,14.6,32.4,31.9,40,18.9,11.8,128.2,110.4
May-24,63.3,72.7,61.4,83.2,61.6,20.6,68.7,61.1,63.3,53.2,65.9,196.4,289.4,92.7,29.8,143.6,156.2,182.7,64.5,41.9,179.6,152.4,195.5,446.6,40.3,41,28.9,60.1,75.4,47.8,69.3,41.9,50.1,77.5,46.5,182.8,250.5,61.8,54,51.4,47.2,65,48.5,41.9,37.8,21.5,7.6,58,87.7,105.3,52.3,14.2,23.1,25.7,35.2,18,15,78.5,64.6
Jun-24,53.3,42.5,34.1,77.5,33.4,13.2,60.9,57.6,52.7,38.7,58.2,66.3,63.2,71.6,23.5,79.3,63,48.9,34.7,30.9,71.3,58.4,79.9,267.6,41.8,34.6,27.8,30.9,46,34.1,53.4,33.6,47.8,42,32.4,54.4,68.1,45.5,45.2,36.8,28.2,34.9,26.9,28.1,24.3,16.6,7.3,26.4,73.3,68.1,30.5,9.3,15.5,13.7,18.3,16.9,8,39.2,59.4
