month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
21-Nov,72.2,73.8,87.4,74.4,72.3,95.8,85.9,52.4,64.5,75.2,79.5,81.2,89.8,84.4,68,77.8,61.4,65.5,75.1,93.8,75.4,46,83.1,55.9,32,81.8,58.6,41.3,32.4,52.6,79.2,76.6,73,107.6,69.6,83.1,88.6
21-Dec,51.1,76.7,73.7,68.6,58.5,84.7,76.5,40.5,56.7,69.9,81.2,86.3,77.6,80.9,65.1,68.5,45.2,59.8,68.6,94.4,66.6,38.2,64.8,52.2,31.7,61.9,45.8,40.4,24.7,38.8,71,69.8,73.3,114.2,68.3,79.1,84.6
22-Jan,65.9,75,121.1,81.8,68.5,141.2,107.8,46,65.2,79.5,86.8,112.5,133.4,118.8,73.2,80.7,68.2,75.5,104,130.1,114.3,55,93.4,77,40.2,81.9,52.6,67,23.7,55.4,112.8,96.6,127,135.8,101.5,84.3,98
22-Feb,37.9,56.9,67.4,62.2,54.9,82.4,66.2,33.7,41,53.1,60.4,71.7,76.7,65.6,41.2,44.4,45.3,51.7,70.7,77.7,63.2,33.2,74.1,53.4,36.7,57.8,36.4,41.5,23.3,40.3,78,59.5,67.9,91.8,59.9,59.1,65.3
22-Mar,67.6,72.7,100,71.2,57.9,106.5,90.3,57.2,52.7,71.9,68.2,88.2,105.3,116.5,70.8,87.5,89.4,80.4,93.8,106.5,111.8,41.1,101.9,52.5,33,99.5,58.7,47.4,34.5,68.5,101.9,91.7,119,108.6,100.2,102.8,84.4
22-Apr,67.7,68.4,79.9,72.5,60.4,70.9,79.1,58.2,56.9,75.6,63.5,68.3,74.5,76.3,61.7,64.2,70.9,72.8,67.2,73,76.1,44.2,90,66.9,31,78.2,53.8,49.9,41.4,75.2,73,76.2,76.3,76.8,67.1,79.1,82.8
22-May,51,58.5,66.1,65.1,55,58,66,36.9,42.5,58.7,57.5,64.1,61.2,65.5,45.8,51.1,50.6,51.3,55.3,59.9,58,36.5,69,50.8,33.8,58.7,40.1,33.7,31.4,66.6,61.1,59.5,61.1,56.9,51,59.4,69.9
22-Jun,53.9,57.2,70.2,56.5,43,71.7,64.7,44.5,43.4,60,61.1,68.9,71.7,72.4,44.9,45,45.1,52.4,60.2,60.6,73,35.1,64.9,36.5,33.8,57.7,41.2,31.2,29.3,52.4,67.7,56.6,72.9,62,61.4,64.3,71
22-Jul,42.6,46.9,50.4,47.6,39.5,48.4,49.5,34.5,36.1,48.2,47.9,46.6,50,56.4,43,44.3,43.6,47.5,48.3,49.8,52.9,29.9,61.9,33.5,27.5,53.7,38.8,28.8,31.8,49.7,43.7,54.4,57.9,43.4,48.5,55.4,54.6
22-Aug,38,42.1,49.8,44.7,39.8,50.5,44.2,31.5,31.7,41,43.2,47.8,53.2,49.4,37.5,37.1,39,41.9,42,48.3,47,29.7,48.7,32.1,24.8,49.3,34.2,25.1,25.6,37.7,43.4,46.6,49.1,43.6,42.4,51.5,48.5
22-Sep,57.7,59.9,65.4,65.6,54.2,67.9,71.5,37.1,43.5,65.8,61.2,62.5,66,61.2,51.6,50.4,46.9,57.5,58.8,63.4,59.7,37.2,61.2,44.1,31.2,54.3,42,31.2,29.9,39.3,62.1,64.9,62,69.2,49,61.5,72.8
22-Oct,62.7,62.8,71.6,64.2,55.9,74.1,80.4,40.6,51.3,67.8,65.9,67,72.1,78,50.3,53,47.8,53,59.3,75.9,66.2,42.1,56.6,48.6,29.3,67.3,45.2,36.1,28.6,45.1,60.3,63.6,72.6,71.1,62.7,62.5,74
22-Nov,69.5,87.2,97.3,79.8,61.4,110.5,99.1,43.4,59.9,82.9,98.8,102.8,111.1,92.2,46.4,59.4,58.4,56.5,76.1,98.5,88.3,46.1,74.6,56.6,29.9,71,46,48.8,28.7,44.7,69.2,71.2,92,103.9,77.8,70.3,100.3
22-Dec,50.2,70.8,80.4,65.9,50.2,103,86.7,42.2,50.5,60.5,98.1,102.8,91,71.6,64.7,66.3,56.2,67.6,70.9,93.3,69.3,38.5,75.5,50,32.3,64.9,53.2,36.6,29.3,49.7,72.6,78,74.9,118.5,68.7,75.8,75.3
